"id","code_type","code","description"
5749,"fund_center_code","PKAM000003","Parks General Obligation Bond Program"
5750,"fund_center_code","WAEN000027","Engineering-Project Inspection"
5751,"fund_center_code","MFTS000065","Stores & Order Fulfillment"
5752,"fund_center_code","FRPR000006","Suppression Systems"
5753,"fund_center_code","CBUF000001","Utility Franchise Management"
5754,"fund_center_code","PKPR000015","Sports/Aquatics Manager"
5755,"fund_center_code","WAMC000021","Maint & Const - Southeast District"
5756,"fund_center_code","MFOP000010","Maintenance & Repair"
5757,"fund_center_code","CBMH000008","PEG Access Corporation Capital"
5758,"fund_center_code","PLSB000003","Police Quartermaster"
5759,"fund_center_code","AUDA000009","Debt Activity"
5760,"fund_center_code","PLOP000036","East/Neighborhood Response Team"
5761,"fund_center_code","PKPR000026","Columbia Pool"
5762,"fund_center_code","PNSD000006","Waste Reduction and Recycling"
5763,"fund_center_code","SDSD000007","Solid Waste Commercial and Multifamily"
5764,"fund_center_code","PLIN000025","Gun Taskforce"
5765,"fund_center_code","PKWC000013","Parkrose Community School"
5766,"fund_center_code","WAEN000004","Engineering-Planning"
5767,"fund_center_code","DSPR000001","Plan Review - Engineering"
5768,"fund_center_code","ESWW000001","Wastewater Group Administration"
5769,"fund_center_code","MFOP000064","Debt Activity - Parking"
5770,"fund_center_code","MFTS000056","Radio and Video Equipment"
5771,"fund_center_code","MFTS000059","Information Technology"
5772,"fund_center_code","PKSB000007","Eastmoreland Golf Course"
5773,"fund_center_code","ESBS000008","BES Funds Management"
5774,"fund_center_code","FRMS000003","MIS & Data Processing"
5775,"fund_center_code","TRED000010","Engineering Bureau Admin"
5776,"fund_center_code","PKWC000007","Faubion Community School"
5777,"fund_center_code","PLIN000035","Juveniles Runaway"
5778,"fund_center_code","FRMS000001","Planning & Administrative Svcs"
5779,"fund_center_code","MFCP000001","Enterprise Business System"
5780,"fund_center_code","AUDA000003","Archives & Records"
5781,"fund_center_code","PKWC000028","Customer Service Center"
5782,"fund_center_code","WAMC000002","Maint & Const-Administrative Support"
5783,"fund_center_code","PLIN000030","Asset Forfeiture"
5784,"fund_center_code","MFTS000054","800 MHz Overhead"
5785,"fund_center_code","FRPR000005","Investigations"
5786,"fund_center_code","ESPP000019","Municipal Separate Storm Sewer System"
5787,"fund_center_code","FRMS000023","Station 13"
5788,"fund_center_code","ESBS000003","Accounting Services"
5789,"fund_center_code","MFOP000063","Debt Activity - Arena"
5790,"fund_center_code","PUCO000001","Commissioner of Public Utilities"
5791,"fund_center_code","PNCP000001","Planning and Urban Design"
5792,"fund_center_code","PKPR000037","Engineering"
5793,"fund_center_code","MFTS000070","Production Services"
5794,"fund_center_code","MFTS000015","Email"
5795,"fund_center_code","NINR000011","Mayor's Violence Reduction"
5796,"fund_center_code","TRMN000007","Street Maintenance"
5797,"fund_center_code","ECOP000001","Operations"
5798,"fund_center_code","PKWC000026","Administrative Support"
5799,"fund_center_code","MFTS000034","SAP Application"
5800,"fund_center_code","FRMS000038","Station 28"
5801,"fund_center_code","PLSB000028","Armory"
5802,"fund_center_code","ESDR000002","Administrative Support"
5803,"fund_center_code","MFOP000044","Parking and Spectator Fac Admin"
5804,"fund_center_code","FRMS000040","Station 30"
5805,"fund_center_code","PLIN000024","Forensic Evidence Division"
5806,"fund_center_code","MFTS000071","PC Deployment"
5807,"fund_center_code","FRMS000004","Finance"
5808,"fund_center_code","PLIN000040","Bias/Hate Crimes"
5809,"fund_center_code","WACS000011","Customer Service-Small/Large Meters"
5810,"fund_center_code","TRDR000008","Business Svcs Payroll & HR Support"
5811,"fund_center_code","PNSD000002","Policy, Research and Innovation"
5812,"fund_center_code","WAEN000011","Engineering-Contract Administration"
5813,"fund_center_code","MFSA000010","Regional Arts & Culture Council"
5814,"fund_center_code","PKPR000030","Peninsula Pool"
5815,"fund_center_code","MFTS000021","Enterprise Server"
5816,"fund_center_code","CBMH000001","Mt. Hood Cable Regulatory Commission"
5817,"fund_center_code","MFSA000024","Innovation Fund"
5818,"fund_center_code","PKPR000043","Portland Tennis Center"
5819,"fund_center_code","PKWC000023","Volunteer Programs"
5820,"fund_center_code","ESWW000016","Tryon Creek WWTP - Operations"
5821,"fund_center_code","WAEN000015","Engineering-Development Services"
5822,"fund_center_code","MFTS000047","Leased Business and WATS Services"
5823,"fund_center_code","PLIN000038","Child Abuse Team"
5824,"fund_center_code","MFPU000001","Procurement Services"
5825,"fund_center_code","DSAS000002","Information Services"
5826,"fund_center_code","DSAS000003","Technology Advancement"
5827,"fund_center_code","DSLU000001","Land Use Services"
5828,"fund_center_code","BOBO000001","City Budget Office"
5829,"fund_center_code","DSSS000003","Dangerous Buildings"
5830,"fund_center_code","MFSA000005","Council Emergency Funds"
5831,"fund_center_code","ESEN000012","Construction Management"
5832,"fund_center_code","PKSB000012","Portland International Raceway"
5833,"fund_center_code","FRMS000036","Station 26"
5834,"fund_center_code","MFFM000004","Fund Management"
5835,"fund_center_code","MFTS000016","Internet"
5836,"fund_center_code","MFOP000068","P&D Fund Level Rev & Exp"
5837,"fund_center_code","PKPR000006","Community Centers Manager"
5838,"fund_center_code","WACS000010","Customer Service-Field Services"
5839,"fund_center_code","PLOP000031","Photo Radar"
5840,"fund_center_code","PLIN000016","DEA Crime Interdiction"
5841,"fund_center_code","FRMS000041","Station 31"
5842,"fund_center_code","PLOP000040","SE/Neighborhood Response Team"
5843,"fund_center_code","ESBS000004","Administrative Services"
5844,"fund_center_code","DSIS000001","Facilities Permits - Administration"
5845,"fund_center_code","PLOP000021","SE/Clark Center"
5846,"fund_center_code","NINR000006","East Portland Neighborhood Office"
5847,"fund_center_code","MFSA000022","Crisis Assessment Center"
5848,"fund_center_code","ESPP000006","Environmental Investigations Admin"
5849,"fund_center_code","PKPR000005","Irrigation Services"
5850,"fund_center_code","MFOP000029","*INAC* Fund Requirements"
5851,"fund_center_code","PNCP000004","Strategic and Community Planning"
5852,"fund_center_code","TRMN000017","Sewer Cleaning"
5853,"fund_center_code","MFTS000026","GIS Infrastructure"
5854,"fund_center_code","WAOP000006","Operations-Water Operations"
5855,"fund_center_code","MFHR000015","Training Fund program exps& rev account"
5856,"fund_center_code","WAAD000002","Administration-Public Involvement"
5857,"fund_center_code","MFTS000067","Network Eng & Info Sec Billable"
5858,"fund_center_code","WAMC000014","Maint & Const - Outer Southeast District"
5859,"fund_center_code","PLOP000035","PUC Enforcement"
5860,"fund_center_code","PLOP000052","Columbia Stat Office"
5861,"fund_center_code","FRMS000027","Station 17"
5862,"fund_center_code","MFOP000004","Mailing/Copier/Microfilm Services"
5863,"fund_center_code","TRDR000010","Administrative Services"
5864,"fund_center_code","TRMN000020","Street Cleaning"
5865,"fund_center_code","PACO000004","Domestic Violence One-Stop Center"
5866,"fund_center_code","TRDR000002","Business Services"
5867,"fund_center_code","MFFS000006","Treasury Services"
5868,"fund_center_code","WAMC000001","Maint & Const-Wtr Group Mgr"
5869,"fund_center_code","FRMS000039","Station 29"
5870,"fund_center_code","MFPU000003","Outside Services"
5871,"fund_center_code","NINR000009","Disability Program"
5872,"fund_center_code","FRMS000037","Station 27"
5873,"fund_center_code","ESWW000009","Columbia Blvd WWTP - Operations"
5874,"fund_center_code","ESWW000025","BES Wastewater Collection System"
5875,"fund_center_code","PLOP000030","Traff/Special Pol"
5876,"fund_center_code","PLSB000017","Telephone Reports"
5877,"fund_center_code","TRTS000004","Parking Enforcement"
5878,"fund_center_code","PLCH000011","The Day Watch"
5879,"fund_center_code","ESWW000019","Administrative Services"
5880,"fund_center_code","PKSB000016","Performance & Analysis"
5881,"fund_center_code","WARP000001","Resource  Protection-Planning Director"
5882,"fund_center_code","PLSB000011","Records Division"
5883,"fund_center_code","MFOP000045","Portland Building"
5884,"fund_center_code","EMEM000004","Emergency Operations Center"
5885,"fund_center_code","MFCP000002","Public Safety System Revitalization"
5886,"fund_center_code","PLIN000041","Youth Crime Prevention"
5887,"fund_center_code","FRCO000005","Light Duty - Injury Leave"
5888,"fund_center_code","PLOP000016","SE Crime Analysis"
5889,"fund_center_code","MFTS000035","GIS Application"
5890,"fund_center_code","MFOP000008","Loss Prevention & Commercial Insurance"
5891,"fund_center_code","SDSD000006","Solid Waste Residential"
5892,"fund_center_code","AUDA000004","Assessments/Finance/Foreclosure"
5893,"fund_center_code","MFTS000076","Federal Tax Information Infrastructure"
5894,"fund_center_code","TRMN000005","Traffic Maintenance Signs & Markings"
5895,"fund_center_code","PKWC000009","Grout Community School"
5896,"fund_center_code","WAAD000004","Administration-Property Acquisition"
5897,"fund_center_code","PLOP000041","NE/Neighborhood Response Team"
5898,"fund_center_code","PKSB000015","Strat Fin & Bus Dev Administration"
5899,"fund_center_code","PKDI000005","Parks Endowment"
5900,"fund_center_code","HCPG000001","Housing Access & Retention Team"
5901,"fund_center_code","TRTS000001","Transportation System Management"
5902,"fund_center_code","MFTS000043","Telecommunications T&M Billable"
5903,"fund_center_code","PLCH000008","Strategic Services Division"
5904,"fund_center_code","PLOP000045","Central Detectives"
5905,"fund_center_code","WARP000006","Resource  Protection-Wtr Resource Educ"
5906,"fund_center_code","MFOP000058","Justice Center"
5907,"fund_center_code","MFOP000019","*INAC* O'Bryant Sq"
5908,"fund_center_code","WAEN000023","Engineering-Storage & Pump Station Prgm"
5909,"fund_center_code","PNSD000005","Solid Waste Recycling"
5910,"fund_center_code","PKAM000002","Asset Management Program"
5911,"fund_center_code","PLIN000023","ID Photo Lab Services"
5912,"fund_center_code","PKWC000024","Workforce Support & Dev. Admin"
5913,"fund_center_code","MFSA000014","PDC Enterprise Zones"
5914,"fund_center_code","TRED000013","Utilities, Constuction, Inspection Oper"
5915,"fund_center_code","WACS000001","Customer Service - Cust Svs Div"
5916,"fund_center_code","ESPP000015","Environmental Compliance Admin"
5917,"fund_center_code","MFHR000005","Diversity and Affirmative Action"
5918,"fund_center_code","PKPR000003","Turf Maintenance"
5919,"fund_center_code","WAEN000002","Engineering-Emerg Mgmt Program"
5920,"fund_center_code","FRMS000013","Station 3"
5921,"fund_center_code","PKPR000023","St. Johns Community Center"
5922,"fund_center_code","WARP000003","Resource  Protection-Conservation"
5923,"fund_center_code","MFSA000027","Mt Hood Cable Regulatory"
5924,"fund_center_code","PLSB000001","Comm / Fac."
5925,"fund_center_code","PKCN000007","Natural Areas Admin"
5926,"fund_center_code","PLIN000021","Early Intervention"
5927,"fund_center_code","PLOP000066","Hot Spot Enf Team - HEAT"
5928,"fund_center_code","NINR000018","Accessible Neighborhoods"
5929,"fund_center_code","ESWW000003","Maintenance Engineering"
5930,"fund_center_code","PLIN000026","Information & Referral"
5931,"fund_center_code","FREO000002","Battalion Headquarters"
5932,"fund_center_code","PLSB000002","Fleet Services"
5933,"fund_center_code","TRMN000002","Emergency Management"
5934,"fund_center_code","TRMN000006","Maintenance Division Administration"
5935,"fund_center_code","PLIN000052","US Marshall / HIDTA"
5936,"fund_center_code","PKWC000004","Beaumont Community School"
5937,"fund_center_code","PKWC000025","City Collaborative Services Admin"
5938,"fund_center_code","FRMS000005","Logistics Administration"
5939,"fund_center_code","PKPR000019","Arts, Culture and SE Manager"
5940,"fund_center_code","FRTS000005","Television Services"
5941,"fund_center_code","MFTS000004","Strategic Planning"
5942,"fund_center_code","MFTS000018","Windows Servers"
5943,"fund_center_code","ESPP000017","Brownfields Program"
5944,"fund_center_code","ESWS000006","Willamette Watershed"
5945,"fund_center_code","WAMC000010","Maint & Constr-Administrative Support"
5946,"fund_center_code","WACS000005","Customer Service-Operations"
5947,"fund_center_code","PLIN000012","Arson Detail"
5948,"fund_center_code","WAMC000020","Maint & Const - Northwest District"
5949,"fund_center_code","PLOP000059","North Secondary Employment"
5950,"fund_center_code","PLCH000014","Retirement/Resignation"
5951,"fund_center_code","PLCH000024","Prof Standard Division"
5952,"fund_center_code","WAAD000001","Administration-Business Ops"
5953,"fund_center_code","PKPR000002","Svcs NW/DT Ops"
5954,"fund_center_code","TRED000024","Streetcar Inventory Control"
5955,"fund_center_code","PLIN000002","Sunshine Division"
5956,"fund_center_code","PNSD000001","Communications"
5957,"fund_center_code","NINL000004","Neighborhood Mediation"
5958,"fund_center_code","PNPC000006","Environmental Planning Program"
5959,"fund_center_code","MFRB000005","Office for Community Technology"
5960,"fund_center_code","PKPR000029","Montavilla Pool"
5961,"fund_center_code","PKCN000010","Urban Forestry Manager"
5962,"fund_center_code","PKPR000039","Structural Services Support"
5963,"fund_center_code","PKWC000005","SUN CS Admin"
5964,"fund_center_code","MFSA000016","PDC Business Districts"
5965,"fund_center_code","PKPR000025","Aquatics Program Admin"
5966,"fund_center_code","FRPR000013","Public Education"
5967,"fund_center_code","PLIN000048","Detectives White Collar Crimes"
5968,"fund_center_code","MFOP000067","Liab Fund Level Rev & Exp"
5969,"fund_center_code","FRMS000025","Station 15"
5970,"fund_center_code","WAMC000004","Maint & Const-CMM/Fleet/Stores"
5971,"fund_center_code","ESEN000021","ASM - Modeling"
5972,"fund_center_code","ESWS000007","Watershed Division"
5973,"fund_center_code","FREO000013","FPD&R Liaison"
5974,"fund_center_code","MFTS000039","Radio Shop Overhead"
5975,"fund_center_code","FRPR000015","FPP Fire Sprinkler Inspection"
5976,"fund_center_code","ESPP000014","CSA - Other BES Groups"
5977,"fund_center_code","AUCA000003","Progress Board"
5978,"fund_center_code","MFTS000041","Video Operations"
5979,"fund_center_code","WAOP000003","Operations-Laboratory Services"
5980,"fund_center_code","PNOP000002","Technical Support"
5981,"fund_center_code","TRMN000023","Facilities Maintenance"
5982,"fund_center_code","PKLM000004","Citywide Lands Manager Administration"
5983,"fund_center_code","DSIS000002","Facilities Permits - Electrical"
5984,"fund_center_code","ESWS000011","Science Fish and Wildlife"
5985,"fund_center_code","PKWC000001","Citywide Recreation"
5986,"fund_center_code","DSCS000001","Customer Service and Public Information"
5987,"fund_center_code","ESPP000008","Data Acquisition & Management"
5988,"fund_center_code","PLOP000039","North/Detectives"
5989,"fund_center_code","PKDI000003","Parks Local Option Levy"
5990,"fund_center_code","PSCO000001","Commissioner of Public Safety"
5991,"fund_center_code","PKSB000014","Systems Development Charges"
5992,"fund_center_code","ESWW000017","Tryon Creek WWTP - Mechanical"
5993,"fund_center_code","MFTS000003","Customer Relationship Mgmnt"
5994,"fund_center_code","MFTS000050","Telecommunications Engineering"
5995,"fund_center_code","TRDR000014","Transportation Loss Control/Training"
5996,"fund_center_code","PKSB000013","Capital Infrastructure Projects"
5997,"fund_center_code","PLCH000026","School Pol Officers"
5998,"fund_center_code","PLIN000022","Internal Affairs Division"
5999,"fund_center_code","MFOP000016","CityFleet Admin"
6000,"fund_center_code","PNOP000004","General Bureauwide Operating Costs"
6001,"fund_center_code","PLSB000014","Employee Assistance"
6002,"fund_center_code","ESWW000007","Biosolids Reuse"
6003,"fund_center_code","ESEN000022","ASM - Spatial Tools & Analysis"
6004,"fund_center_code","WAOP000015","Operations-SCADA"
6005,"fund_center_code","PKPR000034","Buckman Pool"
6006,"fund_center_code","PKPR000008","Athletic Field Services"
6007,"fund_center_code","MFOP000046","City Hall"
6008,"fund_center_code","MFOP000049","Records Ctr - Park"
6009,"fund_center_code","FRMS000018","Station 8"
6010,"fund_center_code","FRMS000032","Station 22"
6011,"fund_center_code","WAEN000012","Engineering-Design,Spec,WQ/QC Prgm"
6012,"fund_center_code","ESPP000003","Industrial Stormwater"
6013,"fund_center_code","NIAD000001","ONI Administration"
6014,"fund_center_code","MFRB000002","Operations Division"
6015,"fund_center_code","PNCP000002","Housing and Intergovernmental Programs"
6016,"fund_center_code","MFOP000002","Printing & Distribution Administration"
6017,"fund_center_code","MFPU000002","Director's Office"
6018,"fund_center_code","FRMS000010","Linnton Site Monitoring"
6019,"fund_center_code","FRMS000042","Toy & Joy - Former Station 40"
6020,"fund_center_code","PLSB000023","Training Advanced Academy"
6021,"fund_center_code","DSIS000007","Building - Mechanical"
6022,"fund_center_code","PLOP000028","North Precinct"
6023,"fund_center_code","ESWS000015","Stormwater Stewards"
6024,"fund_center_code","PLCH000013","Crime Interdiction Overhead"
6025,"fund_center_code","MFSA000007","Clean & Safe District"
6026,"fund_center_code","ESWS000009","Fanno/Tryon Creeks"
6027,"fund_center_code","WAMC000013","Maint & Const - Construction"
6028,"fund_center_code","FRMS000028","Station 18"
6029,"fund_center_code","FREO000006","Suppression Operations"
6030,"fund_center_code","PKPR000018","Montavilla Community Center"
6031,"fund_center_code","ESWS000002","Stormwater System Division"
6032,"fund_center_code","FRPR000007","Fire Alarms"
6033,"fund_center_code","TRMN000008","Recycling Facility"
6034,"fund_center_code","PLIN000047","Detectives Sex Crimes Unit"
6035,"fund_center_code","PLIN000050","TOD Metro Gang Task Force"
6036,"fund_center_code","HCPG000005","Neighborhood Housing Programs"
6037,"fund_center_code","PKPR000036","Services Zone Support Admin"
6038,"fund_center_code","MFOP000056","North Precinct"
6039,"fund_center_code","PLOP000051","East Special Pol Svc"
6040,"fund_center_code","PKPR000045","Teen Programming"
6041,"fund_center_code","PLSB000026","Officer Trainees"
6042,"fund_center_code","FRMS000044","Public Information"
6043,"fund_center_code","MFHR000016","Deferred Compensation"
6044,"fund_center_code","WAEN000013","Engineering-CIP Development & Support"
6045,"fund_center_code","MFOP000013","Vehicle Acquisition"
6046,"fund_center_code","ECAD000002","Special Projects"
6047,"fund_center_code","DSIS000008","Special Inspections"
6048,"fund_center_code","PKPR000004","Hillside Community Center"
6049,"fund_center_code","ESDR000007","Environmental Policy"
6050,"fund_center_code","MFOP000053","Police Training Division"
6051,"fund_center_code","DRDR000004","Administration"
6052,"fund_center_code","DRDR000002","Oregon PERS Contributions"
6053,"fund_center_code","PLSB000019","PPA President"
6054,"fund_center_code","ESBS000002","Contract Mgmt & Business Opportunities"
6055,"fund_center_code","FRMS000007","Building Maintenance"
6056,"fund_center_code","MFOP000014","Replacement"
6057,"fund_center_code","WAEN000006","Engineering-Design"
6058,"fund_center_code","PLOP000003","Central Crime Analysis"
6059,"fund_center_code","WACS000008","Customer Service-Call Center"
6060,"fund_center_code","TRED000002","Permit Engineering"
6061,"fund_center_code","PLIN000043","Crisis Negotiation Team"
6062,"fund_center_code","AUDA000001","Management Services"
6063,"fund_center_code","MFOP000066","WC Fund Level Rev & Exp"
6064,"fund_center_code","MFTS000029","Business Solutions Overhead"
6065,"fund_center_code","PKPR000012","Services South Zone Operations"
6066,"fund_center_code","PKDI000001","Director's Office"
6067,"fund_center_code","DSSS000007","Neighborhood Inspections"
6068,"fund_center_code","PKWC000021","Security Coordinator"
6069,"fund_center_code","PLOP000048","Youth Advisory Council"
6070,"fund_center_code","MFOP000012","Vehicle Pool"
6071,"fund_center_code","MFEB000001","EBS Ongoing Operations"
6072,"fund_center_code","MFTS000011","Integrated Support Center"
6073,"fund_center_code","ESEN000011","Construction Administration"
6074,"fund_center_code","FRMS000019","Station 9"
6075,"fund_center_code","ESWS000003","Environmental Policy Administration"
6076,"fund_center_code","PKWC000017","Community Music Center"
6077,"fund_center_code","DSAS000001","Administration"
6078,"fund_center_code","CBMH000003","Metro East Community Media"
6079,"fund_center_code","PLOP000046","Southeast Detectives"
6080,"fund_center_code","ESPP000002","Source Control Management"
6081,"fund_center_code","MFFM000001","General Fund Contingency"
6082,"fund_center_code","WAFS000005","Water Sales"
6083,"fund_center_code","PKLM000001","Land Stewardship Division Administration"
6084,"fund_center_code","FRMS000043","Business Services"
6085,"fund_center_code","PKPR000046","Urban Parks Programming"
6086,"fund_center_code","MFTS000058","Poverty Fund - DO NOT USE"
6087,"fund_center_code","TRED000004","Civil Design"
6088,"fund_center_code","MFEB000003","Debt Activity"
6089,"fund_center_code","MFTS000046","Paging Services"
6090,"fund_center_code","TRED000003","Street Systems Management"
6091,"fund_center_code","MFOP000033","PGE Park"
6092,"fund_center_code","PLSB000021","Alarms Unit"
6093,"fund_center_code","MFTS000027","E-Government Infrastructure"
6094,"fund_center_code","PLSB000024","Training In-Service"
6095,"fund_center_code","MFOP000073","Portland 5 property Schnitzer Concert Ha"
6096,"fund_center_code","DSSS000005","Site Development"
6097,"fund_center_code","PLIN000033","Domestic Violence"
6098,"fund_center_code","FRTS000002","Training Administration"
6099,"fund_center_code","PLSB000009","Information Tech Division"
6100,"fund_center_code","PLOP000013","Central Precinct"
6101,"fund_center_code","FRMS000014","Station 4"
6102,"fund_center_code","PKCN000006","Urban Forestry Operations"
6103,"fund_center_code","TRDR000005","Maintenance Payroll"
6104,"fund_center_code","ESWW000004","Stormwater Operations & Maintenance"
6105,"fund_center_code","ESWS000004","Underground Injection Control"
6106,"fund_center_code","ESWS000010","Johnson Creek"
6107,"fund_center_code","MFOP000020","*INAC* 10th & Yamhill Park"
6108,"fund_center_code","ESEN000007","Collection System Engineering"
6109,"fund_center_code","PNPC000005","Comp Plan Implementation Program"
6110,"fund_center_code","MFSA000008","Downtown Marketing"
6111,"fund_center_code","TRPP00","Modal Coordination"
6112,"fund_center_code","ESWW000021","Inventory & Purchasing"
6113,"fund_center_code","MFOP000039","GO Bond Admin"
6114,"fund_center_code","FRPR000016","Return to Work"
6115,"fund_center_code","PKPR000032","Sellwood Pool"
6116,"fund_center_code","TRED000014","Development Review Division"
6117,"fund_center_code","PKPR000044","Svcs Northeast Zone Operations"
6118,"fund_center_code","PLOP000055","East Precinct"
6119,"fund_center_code","DSIS000010","Residential Combination"
6120,"fund_center_code","MFTS000010","Support Center T&M Billable"
6121,"fund_center_code","MFTS000062","Police Bureau Applications"
6122,"fund_center_code","PLIN000031","GREAT Program"
6123,"fund_center_code","PLIN000020","Regulatory Org Crime Narc"
6124,"fund_center_code","TRED000009","Project Management"
6125,"fund_center_code","PKPR000022","Peninsula Park Community Center"
6126,"fund_center_code","ESPP000004","Industrial Permitting"
6127,"fund_center_code","PNDO000001","Director's Office"
6128,"fund_center_code","MFTS000075","RegJIN Infrastructure"
6129,"fund_center_code","PKPR000040","Athletics Admin"
6130,"fund_center_code","PLOP000050","Youth Services Division"
6131,"fund_center_code","PLCH000004","Emergency Management Unit"
6132,"fund_center_code","PLCH000017","Patrol Operations Overhead"
6133,"fund_center_code","ESWS000012","Implementation & Technical Assistance"
6134,"fund_center_code","ESEN000013","Construction Inspection"
6135,"fund_center_code","MFOP000018","*INAC* 1st & Jefferson Comm"
6136,"fund_center_code","PKWC000019","Senior Citizens Rec"
6137,"fund_center_code","PKPR000038","Heavy Equipment Services"
6138,"fund_center_code","TRDR000003","Information Management"
6139,"fund_center_code","FRMS000033","Station 23"
6140,"fund_center_code","MFSA000028","IGA with County for Title 13 Animals"
6141,"fund_center_code","DSPR000005","Process Management"
6142,"fund_center_code","EMEM000007","Planning and Mitigation"
6143,"fund_center_code","MFSA000001","One-time Special Appropriations"
6144,"fund_center_code","PKDI000002","Finance"
6145,"fund_center_code","PLOP000029","Police Cadets"
6146,"fund_center_code","MFFM000003","General Fund Overhead Recovery"
6147,"fund_center_code","PNSD000004","Sustainability Education and Assistance"
6148,"fund_center_code","MFTS000048","Long Distance"
6149,"fund_center_code","TRTS000007","Regulatory Services"
6150,"fund_center_code","MFTS000002","Communications"
6151,"fund_center_code","ESDR000001","Bureau Director"
6152,"fund_center_code","WAMC000005","Maint & Const-Field Services 1"
6153,"fund_center_code","PLOP000024","NE Crime Analysis"
6154,"fund_center_code","MFTS000033","TRACS Application"
6155,"fund_center_code","SDSD000005","Solid Waste Recycling"
6156,"fund_center_code","TRMN000018","Stormwater Maintenance"
6157,"fund_center_code","WAEN000001","Engineering-Office of Chief Engineer"
6158,"fund_center_code","ESWW000002","Maintenance"
6159,"fund_center_code","WAOP000010","Operations-Water Quality Inspection"
6160,"fund_center_code","DSPR000004","Trade Permits"
6161,"fund_center_code","PLSB000007","Property Disposal"
6162,"fund_center_code","PLIN000042","Air Support"
6163,"fund_center_code","NINL000005","NOISE CONTROL"
6164,"fund_center_code","WAOP000016","Operations-Operational Analysis"
6165,"fund_center_code","MFTS000025","Synergen Infrastructure"
6166,"fund_center_code","PKWC000008","Roseway Heights Community School"
6167,"fund_center_code","MFFS000004","Operational Accounting"
6168,"fund_center_code","MFOP000030","*INAC* Parking Fac Admin"
6169,"fund_center_code","MFEB000002","EBS services"
6170,"fund_center_code","MFOP000043","Facilities Property Management"
6171,"fund_center_code","ESWW000006","Operations"
6172,"fund_center_code","ESDR000003","Communications"
6173,"fund_center_code","PNCP000003","Economic Development Planning Program"
6174,"fund_center_code","PKSB000004","Planning"
6175,"fund_center_code","MFSA000003","All Hands Raised"
6176,"fund_center_code","MFFS000009","Grants Management"
6177,"fund_center_code","PLOP000034","Traffic/Investigation"
6178,"fund_center_code","DSIS000003","Facilities Permits - Building"
6179,"fund_center_code","PLOP000019","SE/B-D Contact Office"
6180,"fund_center_code","ESEN000025","Asset System Management Program Manageme"
6181,"fund_center_code","MFTS000068","Cable Plant Eng"
6182,"fund_center_code","ESEN000016","Support Services"
6183,"fund_center_code","PKPR000009","Fulton CC"
6184,"fund_center_code","WAMC000003","Maint & Const-Safety"
6185,"fund_center_code","ESWW000015","Tryon Creek WWTP - Administration"
6186,"fund_center_code","MFOP000051","Property Warehouse"
6187,"fund_center_code","WAEN000019","Engineering-Groundwater Program"
6188,"fund_center_code","WAOP000019","Operations-Water Quality Information"
6189,"fund_center_code","PKWC000003","Arleta Community School"
6190,"fund_center_code","FRPR000004","Special Use Permits"
6191,"fund_center_code","CBCF000002","Portland Community Media"
6192,"fund_center_code","PLIN000044","Vehicle Storage Facility"
6193,"fund_center_code","FRPR000009","Code Enforcement"
6194,"fund_center_code","PKPR000024","Charles Jordan CC"
6195,"fund_center_code","TRDR000007","Business Svcs Contract Mgmt"
6196,"fund_center_code","TRMN000004","Street Maint Engineering Support"
6197,"fund_center_code","PACO000001","Commissioner of Public Affairs"
6198,"fund_center_code","PLIN000053","Burglary Task Force"
6199,"fund_center_code","MFTS000072","CAD Next Infrastructure"
6200,"fund_center_code","MFTS000060","Police IT Management"
6201,"fund_center_code","WAEN000018","Engineering-CADD"
6202,"fund_center_code","FRTS000003","In-Service Training"
6203,"fund_center_code","PLIN000008","Explosive Disposal"
6204,"fund_center_code","EMEM000006","Community Emergency Services"
6205,"fund_center_code","WARP000004","Resource Protection -Source Protection"
6206,"fund_center_code","MFTS000040","Radio Shop Operations"
6207,"fund_center_code","MFOP000037","Renovation Projects"
6208,"fund_center_code","CBMH000007","PEG Community Access Capital"
6209,"fund_center_code","WABA000001","Bureau Administrator-Bureau Admin"
6210,"fund_center_code","MFRB000001","License and Tax Division"
6211,"fund_center_code","ESWW000010","Deleted"
6212,"fund_center_code","PLOP000015","Central/NRT"
6213,"fund_center_code","MFSA000012","COPPEA Professional Development"
6214,"fund_center_code","MFTS000009","Support Center"
6215,"fund_center_code","MFOP000059","Kerby Garage"
6216,"fund_center_code","PKPR000027","Creston Pool"
6217,"fund_center_code","PKWC000027","Workforce & Comm Alliances Admin"
6218,"fund_center_code","PLIN000034","Elder Crimes"
6219,"fund_center_code","MFTS000055","800 MHz System"
6220,"fund_center_code","PLCH000018","Investigations Overhead"
6221,"fund_center_code","MFTS000052","Voice Mail"
6222,"fund_center_code","DRDR000003","Disability & Death Benefits"
6223,"fund_center_code","MFTS000012","Support Systems & Asset Management"
6224,"fund_center_code","MFHR000010","Self Insured Plan Internal Admin"
6225,"fund_center_code","TRED000005","Traffic Design"
6226,"fund_center_code","PKPR000017","East Portland Community Center"
6227,"fund_center_code","WAFS000004","Finance & Support Svc-Office Support"
6228,"fund_center_code","PLIN000018","DVD Canine"
6229,"fund_center_code","FRCO000004","EAP/Cape Program"
6230,"fund_center_code","PLOP000064","Special Property Crimes"
6231,"fund_center_code","FREO000007","Hazardous Materials"
6232,"fund_center_code","MFOP000038","New Construction"
6233,"fund_center_code","PWCO000001","Commissioner of Public Works"
6234,"fund_center_code","PLCH000007","Communication Support"
