fund_center_code,fund_code,functional_area_code,object_code,fund_center_name,fund_name,functional_area_name,accounting_object_name,service_area_code,program_code,sub_program_code,fund_center,division_code,bureau_code,bureau_name,fiscal_year,amount
PKSB000007,ENTERPRISE,PRRESG,EMS,Eastmoreland Golf Course,Enterprise,Sports and Games,External Materials and Services,PR,PRRE,PRRESG,PKSB000007,PKSB,PK,Portland Parks & Recreation,2011-12,284601
PNDP000004,GENERAL,CDAPCC,PERSONAL,Central City Program,General Fund,Central City Planning,Personnel Services,CD,CDAP,CDAPCC,PNDP000004,PNDP,PN,Bureau of Planning & Sustainability,2006-07,284610
PNSD000004,ENTERPRISE,CDTERE,IMS,Sustainability Education and Assistance,Enterprise,Residential Outreach,Internal Materials and Services,CD,CDTE,CDTERE,PNSD000004,PNSD,PN,Bureau of Planning & Sustainability,2011-12,284674
FRMS000006,GENERAL,PSASMS,PERSONAL,Station Operations,General Fund,Management Services,Personnel Services,PS,PSAS,PSASMS,FRMS000006,FRMS,FR,Portland Fire & Rescue,2007-08,284726
MFFS000008,GENERAL,LAFPBE,EMS,Financial Planning and Grants Management,General Fund,Budget & Economics,External Materials and Services,LA,LAFP,LAFPBE,MFFS000008,MFFS,MF,Office of Management & Finance,2010-11,284774
MFOP000007,INT_SVC,LAWC00,IMS,Workers Compensation,Internal Service,Workers' Compensation,Internal Materials and Services,LA,LAWC,LAWC00,MFOP000007,MFOP,MF,Office of Management & Finance,2011-12,284851
DSIS000010,SPEC_REV,CDCB00,EMS,Residential Combination,Special Revenue,Combination Inspections,External Materials and Services,CD,CDCB,CDCB00,DSIS000010,DSIS,DS,Bureau of Development Services,2014-15,284971
EMEM000001,GENERAL,PSEMAS,IMS,Administration,General Fund,Administration & Support,Internal Materials and Services,PS,PSEM,PSEMAS,EMEM000001,EMEM,EM,Portland Bureau of Emergency Management,2013-14,285179
MFOP000011,INT_SVC,LAFLMR,FNDXFER,Fuel Management,Internal Service,Maintenance and Repair,Fund Transfers - Expense,LA,LAFL,LAFLMR,MFOP000011,MFOP,MF,Office of Management & Finance,2014-15,285327
PKPR000026,GENERAL,PRREAQ,PERSONAL,Columbia Pool,General Fund,Aquatics,Personnel Services,PR,PRRE,PRREAQ,PKPR000026,PKPR,PK,Portland Parks & Recreation,2010-11,285363
ESEN000011,ENTERPRISE,PUENCS,PERSONAL,Construction Administration,Enterprise,Construction Services,Personnel Services,PU,PUEN,PUENCS,ESEN000011,ESEN,ES,Bureau of Environmental Services,2006-07,285395
WAMC000020,ENTERPRISE,PUDIHY,IMS,Maint & Const - Northwest District,Enterprise,Hydrants,Internal Materials and Services,PU,PUDI,PUDIHY,WAMC000020,WAMC,WA,Portland Water Bureau,2008-09,285407
TRED000009,SPEC_REV,TPCIHL,EMS,Project Management,Special Revenue,Health & Livability,External Materials and Services,TP,TPCI,TPCIHL,TRED000009,TRED,TR,Portland Bureau of Transportation,2012-13,285439
PKSB000012,ENTERPRISE,PRRESG,ENDBAL,Portland International Raceway,Enterprise,Sports and Games,Unappropriated Fund Balance,PR,PRRE,PRRESG,PKSB000012,PKSB,PK,Portland Parks & Recreation,2013-14,285468
HCPG000001,GENERAL,CDHCAS,EMS,Housing Access & Retention Team,General Fund,Fair Housing,External Materials and Services,CD,CDHC,CDHCAS,HCPG000001,HCPG,HC,Portland Housing Bureau,2010-11,285469
CBCF000001,GENERAL,CDCC00,IMS,Cable Regulatory Service,General Fund,Cable Communications,Internal Materials and Services,CD,CDCC,CDCC00,CBCF000001,CBCF,CB,Office for Community Technology,2009-10,285469
PKPR000023,GENERAL,PRRECS,PERSONAL,St. Johns Community Center,General Fund,Community and Socialization,Personnel Services,PR,PRRE,PRRECS,PKPR000023,PKPR,PK,Portland Parks & Recreation,2007-08,285490
EMEM000007,SPEC_REV,PSEMPM,PERSONAL,Planning and Mitigation,Special Revenue,Planning & Mitigation,Personnel Services,PS,PSEM,PSEMPM,EMEM000007,EMEM,EM,Portland Bureau of Emergency Management,2011-12,285514
PKPR000005,GENERAL,PRINMN,EMS,Irrigation Services,General Fund,Maintenance,External Materials and Services,PR,PRIN,PRINMN,PKPR000005,PKPR,PK,Portland Parks & Recreation,2015-16,285703
MFFS000003,GENERAL,LAACTA,EMS,Accounting - Technical,General Fund,Technical Accounting,External Materials and Services,LA,LAAC,LAACTA,MFFS000003,MFFS,MF,Office of Management & Finance,2013-14,285717
PLIN000034,GENERAL,PSCVCV,PERSONAL,Elder Crimes,General Fund,Cycle of Violence Reduction,Personnel Services,PS,PSCV,PSCVCV,PLIN000034,PLIN,PL,Portland Police Bureau,2010-11,285733
ESEN000018,ENTERPRISE,PUENSR,PERSONAL,Clean River Rewards Technical Assistance,Enterprise,Stormwater Retrofit,Personnel Services,PU,PUEN,PUENSR,ESEN000018,ESEN,ES,Bureau of Environmental Services,2014-15,285740
MFSA000002,GENERAL,LASA00,EMS,City Memberships & Dues,General Fund,Special Appropriation - City Support Services,External Materials and Services,LA,LASA,LASA00,MFSA000002,MFSA,MF,Office of Management & Finance,2007-08,285754
TRDR000004,SPEC_REV,TPCINB,PERSONAL,Transportation Planning,Special Revenue,Neighborhood Livability,Personnel Services,TP,TPCI,TPCINB,TRDR000004,TRDR,TR,Portland Bureau of Transportation,2009-10,285763
MFTS000030,INT_SVC,LABS00,PERSONAL,Business Solutions T&M Billable,Internal Service,Business Solutions,Personnel Services,LA,LABS,LABS00,MFTS000030,MFTS,MF,Office of Management & Finance,2006-07,285782
PKCN000006,GENERAL,PRINMN,IMS,Urban Forestry Operations,General Fund,Maintenance,Internal Materials and Services,PR,PRIN,PRINMN,PKCN000006,PKCN,PK,Portland Parks & Recreation,2008-09,285792
SDSD000002,GENERAL,CDTSED,EMS,Technical Services,General Fund,Economic Development,External Materials and Services,CD,CDTS,CDTSED,SDSD000002,SDSD,SD,Office of Sustainable Development,2007-08,285843
WACS000010,ENTERPRISE,PUCSCS,IMS,Customer Service-Field Services,Enterprise,Customer Services,Internal Materials and Services,PU,PUCS,PUCSCS,WACS000010,WACS,WA,Portland Water Bureau,2012-13,285891
MFSA000002,GENERAL,LASA00,EMS,City Memberships & Dues,General Fund,Special Appropriation - City Support Services,External Materials and Services,LA,LASA,LASA00,MFSA000002,MFSA,MF,Office of Management & Finance,2011-12,286008
PKSB000006,ENTERPRISE,PRSPBS,ENDBAL,Golf Admin,Enterprise,Business Services,Unappropriated Fund Balance,PR,PRSP,PRSPBS,PKSB000006,PKSB,PK,Portland Parks & Recreation,2015-16,286028
MFTS000009,INT_SVC,LASC00,IMS,Support Center,Internal Service,Support Center,Internal Materials and Services,LA,LASC,LASC00,MFTS000009,MFTS,MF,Office of Management & Finance,2010-11,286183
MFTS000014,INT_SVC,LASC00,PERSONAL,User Access & Account Management,Internal Service,Support Center,Personnel Services,LA,LASC,LASC00,MFTS000014,MFTS,MF,Office of Management & Finance,2013-14,286207
TRMN000014,SPEC_REV,TPASFS,PERSONAL,Loss Control/Training,Special Revenue,Field Support,Personnel Services,TP,TPAS,TPASFS,TRMN000014,TRMN,TR,Portland Bureau of Transportation,2007-08,286359
WAEN000001,ENTERPRISE,PUASEI,PERSONAL,Engineering-Office of Chief Engineer,Enterprise,Employee Investment,Personnel Services,PU,PUAS,PUASEI,WAEN000001,WAEN,WA,Portland Water Bureau,2009-10,286473
MFOP000014,INT_SVC,LAMR00,EMS,Replacement,Internal Service,Maintenance & Repair,External Materials and Services,LA,LAMR,LAMR00,MFOP000014,MFOP,MF,Office of Management & Finance,2010-11,286478
PLCH000018,GENERAL,PSSFSF,IMS,Investigations Overhead,General Fund,Strategy & Finance,Internal Materials and Services,PS,PSSF,PSSFSF,PLCH000018,PLCH,PL,Portland Police Bureau,2006-07,286649
MFOP000001,GENERAL,LAASPM,PERSONAL,Finance and Management Services,General Fund,Program Management,Personnel Services,LA,LAAS,LAASPM,MFOP000001,MFOP,MF,Office of Management & Finance,2008-09,286657
ESWS000009,ENTERPRISE,PUWSWM,PERSONAL,Fanno/Tryon Creeks,Enterprise,Watershed Management,Personnel Services,PU,PUWS,PUWSWM,ESWS000009,ESWS,ES,Bureau of Environmental Services,2007-08,286717
PKPR000023,GENERAL,PRRECS,PERSONAL,St. Johns Community Center,General Fund,Community and Socialization,Personnel Services,PR,PRRE,PRRECS,PKPR000023,PKPR,PK,Portland Parks & Recreation,2012-13,286739
PLCH000013,GENERAL,PSSFSF,IMS,Crime Interdiction Overhead,General Fund,Strategy & Finance,Internal Materials and Services,PS,PSSF,PSSFSF,PLCH000013,PLCH,PL,Portland Police Bureau,2006-07,286793
EMEM000002,SPEC_REV,PSEMAS,PERSONAL,Finance and Grants,Special Revenue,Administration & Support,Personnel Services,PS,PSEM,PSEMAS,EMEM000002,EMEM,EM,Portland Bureau of Emergency Management,2011-12,286804
TRMN000001,SPEC_REV,TPMAIN,PERSONAL,Maintenance Administration & Support,Special Revenue,Indirect Services,Personnel Services,TP,TPMA,TPMAIN,TRMN000001,TRMN,TR,Portland Bureau of Transportation,2013-14,286822
TRED000007,SPEC_REV,TPCISU,PERSONAL,Bridges & Structures,Special Revenue,CIP Support - Engineering Services,Personnel Services,TP,TPCI,TPCISU,TRED000007,TRED,TR,Portland Bureau of Transportation,2007-08,286884
WAHP000001,ENTERPRISE,PUHP00,EMS,Hydroelectric Power,Enterprise,Hydroelectric Power,External Materials and Services,PU,PUHP,PUHP00,WAHP000001,WAHP,WA,Portland Water Bureau,2015-16,286999
AUDA000004,GENERAL,LAAF00,PERSONAL,Assessments/Finance/Foreclosure,General Fund,"Assessments, Finance & Foreclosure",Personnel Services,LA,LAAF,LAAF00,AUDA000004,AUDA,AU,Office of the City Auditor,2007-08,287079
PKSB000014,CAPITAL,PRINDE,PERSONAL,Systems Development Charges,Capital Projects,Capital Development,Personnel Services,PR,PRIN,PRINDE,PKSB000014,PKSB,PK,Portland Parks & Recreation,2008-09,287146
ESWW000004,ENTERPRISE,PUWSWR,IMS,Stormwater Operations & Maintenance,Enterprise,Watershed Revegetation,Internal Materials and Services,PU,PUWS,PUWSWR,ESWW000004,ESWW,ES,Bureau of Environmental Services,2008-09,287167
MFOP000002,INT_SVC,LACSCP,FNDXFER,Printing & Distribution Administration,Internal Service,Copier/Printer Services,Fund Transfers - Expense,LA,LACS,LACSCP,MFOP000002,MFOP,MF,Office of Management & Finance,2006-07,287232
PKSB000003,GENERAL,PRINPY,EMS,Property Management,General Fund,Property,External Materials and Services,PR,PRIN,PRINPY,PKSB000003,PKSB,PK,Portland Parks & Recreation,2013-14,287254
MFTS000055,INT_SVC,LACM00,PERSONAL,800 MHz System,Internal Service,Communications,Personnel Services,LA,LACM,LACM00,MFTS000055,MFTS,MF,Office of Management & Finance,2012-13,287290
MFTS000034,INT_SVC,LABS00,EMS,SAP Application,Internal Service,Business Solutions,External Materials and Services,LA,LABS,LABS00,MFTS000034,MFTS,MF,Office of Management & Finance,2012-13,287404
MFOP000028,ENTERPRISE,TPPO00,EMS,*INAC* Station Place,Enterprise,Parking Operations,External Materials and Services,TP,TPPO,TPPO00,MFOP000028,MFOP,MF,Office of Management & Finance,2008-09,287504
TRED000007,SPEC_REV,TPCIAM,PERSONAL,Bridges & Structures,Special Revenue,Asset Management,Personnel Services,TP,TPCI,TPCIAM,TRED000007,TRED,TR,Portland Bureau of Transportation,2013-14,287602
PKCN000009,GENERAL,PRINMN,EMS,Horticultural Services,General Fund,Maintenance,External Materials and Services,PR,PRIN,PRINMN,PKCN000009,PKCN,PK,Portland Parks & Recreation,2012-13,287674
PLOP000005,GENERAL,PSERER,PERSONAL,Central/Special Pol,General Fund,Emergency Response & Problem Solving,Personnel Services,PS,PSER,PSERER,PLOP000005,PLOP,PL,Portland Police Bureau,2007-08,287765
FRMS000005,GENERAL,PSASMS,PERSONAL,Logistics Administration,General Fund,Management Services,Personnel Services,PS,PSAS,PSASMS,FRMS000005,FRMS,FR,Portland Fire & Rescue,2007-08,287812
FRMS000006,GENERAL,PSASMS,IMS,Station Operations,General Fund,Management Services,Internal Materials and Services,PS,PSAS,PSASMS,FRMS000006,FRMS,FR,Portland Fire & Rescue,2012-13,287832
ESDR000006,ENTERPRISE,PUHR00,PERSONAL,Office of Healthy Working Rivers,Enterprise,Healthy Working Rivers,Personnel Services,PU,PUHR,PUHR00,ESDR000006,ESDR,ES,Bureau of Environmental Services,2009-10,287939
TRED000008,SPEC_REV,TPCIPR,IMS,Construction,Special Revenue,Preservation and Rehabilitation,Internal Materials and Services,TP,TPCI,TPCIPR,TRED000008,TRED,TR,Portland Bureau of Transportation,2011-12,287994
PKSB000010,ENTERPRISE,PRRESG,EMS,Rose City Golf Course,Enterprise,Sports and Games,External Materials and Services,PR,PRRE,PRRESG,PKSB000010,PKSB,PK,Portland Parks & Recreation,2011-12,288030
FRPR000012,GENERAL,PSPR00,PERSONAL,Code Enforcement C,General Fund,Prevention,Personnel Services,PS,PSPR,PSPR00,FRPR000012,FRPR,FR,Portland Fire & Rescue,2007-08,288061
CBCF000001,GENERAL,CDCC00,IMS,Cable Regulatory Service,General Fund,Cable Communications,Internal Materials and Services,CD,CDCC,CDCC00,CBCF000001,CBCF,CB,Office for Community Technology,2010-11,288116
WAEN000011,ENTERPRISE,PUTTCT,CAPITAL,Engineering-Contract Administration,Enterprise,Conduits/Transmission,Capital Outlay,PU,PUTT,PUTTCT,WAEN000011,WAEN,WA,Portland Water Bureau,2011-12,288157
MYMY000001,GENERAL,LAMYAS,EMS,Administrative and Executive Management,General Fund,Administration & Support,External Materials and Services,LA,LAMY,LAMYAS,MYMY000001,MYMY,MY,Office of the Mayor,2011-12,288186
PLIN000030,SPEC_REV,PSCVCV,EMS,Asset Forfeiture,Special Revenue,Cycle of Violence Reduction,External Materials and Services,PS,PSCV,PSCVCV,PLIN000030,PLIN,PL,Portland Police Bureau,2013-14,288217
GRLG000001,GENERAL,LAGR00,EMS,Government Relations,General Fund,Government Relations,External Materials and Services,LA,LAGR,LAGR00,GRLG000001,GRLG,GR,Office of Government Relations,2014-15,288284
MFOP000041,INT_SVC,LAPM00,EMS,Facilities Maintenance Services,Internal Service,Project Management,External Materials and Services,LA,LAPM,LAPM00,MFOP000041,MFOP,MF,Office of Management & Finance,2011-12,288306
ZDFS000001,GENERAL,CDEDLI,EMS,Portland Development Commission,General Fund,Local Partner Initiatives,External Materials and Services,CD,CDED,CDEDLI,ZDFS000001,ZDFS,ZD,Portland Development Commission,2012-13,288350
EMEM000001,GENERAL,PSEMAS,IMS,Administration,General Fund,Administration & Support,Internal Materials and Services,PS,PSEM,PSEMAS,EMEM000001,EMEM,EM,Portland Bureau of Emergency Management,2011-12,288402
MFTS000061,INT_SVC,LAPI00,PERSONAL,Police IT Field Support,Internal Service,Police IT,Personnel Services,LA,LAPI,LAPI00,MFTS000061,MFTS,MF,Office of Management & Finance,2011-12,288495
DSPR000004,SPEC_REV,CDPR00,PERSONAL,Trade Permits,Special Revenue,Plan Review,Personnel Services,CD,CDPR,CDPR00,DSPR000004,DSPR,DS,Bureau of Development Services,2013-14,288502
MFRB000002,GENERAL,LAOP00,EMS,Operations Division,General Fund,Operations and Strategic Support,External Materials and Services,LA,LAOP,LAOP00,MFRB000002,MFRB,MF,Office of Management & Finance,2007-08,288569
PLCH000018,GENERAL,PSSFSF,EMS,Investigations Overhead,General Fund,Strategy & Finance,External Materials and Services,PS,PSSF,PSSFSF,PLCH000018,PLCH,PL,Portland Police Bureau,2015-16,288675
WAEN000011,ENTERPRISE,PUSUBR,CAPITAL,Engineering-Contract Administration,Enterprise,Bull Run Watershed,Capital Outlay,PU,PUSU,PUSUBR,WAEN000011,WAEN,WA,Portland Water Bureau,2013-14,288766
MFHR000010,INT_SVC,LAOPHI,IMS,Self Insured Plan Internal Admin,Internal Service,Health Insurance,Internal Materials and Services,LA,LAOP,LAOPHI,MFHR000010,MFHR,MF,Office of Management & Finance,2011-12,288796
PLSB000008,GENERAL,PSININ,IMS,Property Evidence,General Fund,Investigations,Internal Materials and Services,PS,PSIN,PSININ,PLSB000008,PLSB,PL,Portland Police Bureau,2008-09,289085
MFSA000001,GENERAL,CDSA00,EMS,One-time Special Appropriations,General Fund,Special Appropriations - Community Development,External Materials and Services,CD,CDSA,CDSA00,MFSA000001,MFSA,MF,Office of Management & Finance,2009-10,289181
MFTS000069,INT_SVC,LABS00,PERSONAL,Utility Billing App,Internal Service,Business Solutions,Personnel Services,LA,LABS,LABS00,MFTS000069,MFTS,MF,Office of Management & Finance,2013-14,289302
PACO000004,GENERAL,LACODV,PERSONAL,Domestic Violence One-Stop Center,General Fund,Domestic Violence,Personnel Services,LA,LACO,LACODV,PACO000004,PACO,PA,Commissioner of Public Affairs,2013-14,289405
ESWS000001,ENTERPRISE,PUWS00,PERSONAL,Watershed Group Administration,Enterprise,Watershed,Personnel Services,PU,PUWS,PUWS00,ESWS000001,ESWS,ES,Bureau of Environmental Services,2011-12,289557
FRMS000008,SPEC_REV,PSASMS,CAPITAL,Apparatus Maintenance,Special Revenue,Management Services,Capital Outlay,PS,PSAS,PSASMS,FRMS000008,FRMS,FR,Portland Fire & Rescue,2011-12,289678
ESWW000021,ENTERPRISE,PUASBS,EMS,Inventory & Purchasing,Enterprise,Bureau Support,External Materials and Services,PU,PUAS,PUASBS,ESWW000021,ESWW,ES,Bureau of Environmental Services,2015-16,289717
PKPR000010,GENERAL,PRRESG,PERSONAL,Southwest Community Center,General Fund,Sports and Games,Personnel Services,PR,PRRE,PRRESG,PKPR000010,PKPR,PK,Portland Parks & Recreation,2007-08,289758
WARP000002,ENTERPRISE,PUASBS,EMS,Intergovernmental Coordination,Enterprise,Bureau Support,External Materials and Services,PU,PUAS,PUASBS,WARP000002,WARP,WA,Portland Water Bureau,2006-07,289857
PLOP000032,GENERAL,PSTSTS,EMS,Red Light Camera,General Fund,Traffic Safety,External Materials and Services,PS,PSTS,PSTSTS,PLOP000032,PLOP,PL,Portland Police Bureau,2010-11,289875
WAOP000003,ENTERPRISE,PURCRC,PERSONAL,Operations-Laboratory Services,Enterprise,Regulatory Compliance,Personnel Services,PU,PURC,PURCRC,WAOP000003,WAOP,WA,Portland Water Bureau,2006-07,289883
PLCH000017,GENERAL,PSERER,PERSONAL,Patrol Operations Overhead,General Fund,Emergency Response & Problem Solving,Personnel Services,PS,PSER,PSERER,PLCH000017,PLCH,PL,Portland Police Bureau,2011-12,289930
ESDR000004,ENTERPRISE,PUPHCE,EMS,Portland Harbor Admin,Enterprise,CERCLA (Superfund),External Materials and Services,PU,PUPH,PUPHCE,ESDR000004,ESDR,ES,Bureau of Environmental Services,2013-14,290000
MYMY000001,GENERAL,LAMYED,EMS,Administrative and Executive Management,General Fund,Education Program,External Materials and Services,LA,LAMY,LAMYED,MYMY000001,MYMY,MY,Office of the Mayor,2012-13,290000
FRMS000005,GENERAL,PSASMS,PERSONAL,Logistics Administration,General Fund,Management Services,Personnel Services,PS,PSAS,PSASMS,FRMS000005,FRMS,FR,Portland Fire & Rescue,2013-14,290015
MFTS000040,INT_SVC,LAIERS,PERSONAL,Radio Shop Operations,Internal Service,Radio & Video Operations,Personnel Services,LA,LAIE,LAIERS,MFTS000040,MFTS,MF,Office of Management & Finance,2009-10,290055
PLIN000030,SPEC_REV,PSCVCV,EMS,Asset Forfeiture,Special Revenue,Cycle of Violence Reduction,External Materials and Services,PS,PSCV,PSCVCV,PLIN000030,PLIN,PL,Portland Police Bureau,2011-12,290108
PLSB000012,GENERAL,PSHRHR,EMS,Personnel Division,General Fund,Human Resources Development,External Materials and Services,PS,PSHR,PSHRHR,PLSB000012,PLSB,PL,Portland Police Bureau,2007-08,290129
FRPR000004,GENERAL,PSPR00,PERSONAL,Special Use Permits,General Fund,Prevention,Personnel Services,PS,PSPR,PSPR00,FRPR000004,FRPR,FR,Portland Fire & Rescue,2011-12,313760
ESEN000020,SPEC_REV,PUENAM,CAPITAL,CIP Projects,Special Revenue,Asset Systems Management,Capital Outlay,PU,PUEN,PUENAM,ESEN000020,ESEN,ES,Bureau of Environmental Services,2010-11,313856
PKWC000019,GENERAL,PRCYCE,PERSONAL,Senior Citizens Rec,General Fund,Community Engagement,Personnel Services,PR,PRCY,PRCYCE,PKWC000019,PKWC,PK,Portland Parks & Recreation,2007-08,313869
PNCP000004,GENERAL,CDCPST,PERSONAL,Strategic and Community Planning,General Fund,Strategic Planning,Personnel Services,CD,CDCP,CDCPST,PNCP000004,PNCP,PN,Bureau of Planning & Sustainability,2008-09,314023
MFHR000010,INT_SVC,LABN00,FNDXFER,Self Insured Plan Internal Admin,Internal Service,Benefits,Fund Transfers - Expense,LA,LABN,LABN00,MFHR000010,MFHR,MF,Office of Management & Finance,2009-10,314059
PLIN000025,GENERAL,PSCVCV,PERSONAL,Gun Taskforce,General Fund,Cycle of Violence Reduction,Personnel Services,PS,PSCV,PSCVCV,PLIN000025,PLIN,PL,Portland Police Bureau,2012-13,314072
OEOE000001,GENERAL,CDCETS,PERSONAL,Office of Equity and Human Rights,General Fund,Tech Support & Consulting,Personnel Services,CD,CDCE,CDCETS,OEOE000001,OEOE,OE,Office of Equity & Human Rights,2013-14,314093
PKPR000004,GENERAL,PRRECS,PERSONAL,Hillside Community Center,General Fund,Community and Socialization,Personnel Services,PR,PRRE,PRRECS,PKPR000004,PKPR,PK,Portland Parks & Recreation,2015-16,314166
HCMG000002,GENERAL,CDASBS,PERSONAL,Business Operations Team,General Fund,Business Services,Personnel Services,CD,CDAS,CDASBS,HCMG000002,HCMG,HC,Portland Housing Bureau,2007-08,314177
TRMN000022,SPEC_REV,TPASFS,PERSONAL,Fleet and Equipment Maintenance,Special Revenue,Field Support,Personnel Services,TP,TPAS,TPASFS,TRMN000022,TRMN,TR,Portland Bureau of Transportation,2013-14,314240
ESWS000006,ENTERPRISE,PUWSWM,IMS,Willamette Watershed,Enterprise,Watershed Management,Internal Materials and Services,PU,PUWS,PUWSWM,ESWS000006,ESWS,ES,Bureau of Environmental Services,2013-14,314292
MFOP000045,INT_SVC,LAPM00,EMS,Portland Building,Internal Service,Project Management,External Materials and Services,LA,LAPM,LAPM00,MFOP000045,MFOP,MF,Office of Management & Finance,2009-10,314302
PKSB000009,ENTERPRISE,PRRESG,EMS,RedTail Golf Course,Enterprise,Sports and Games,External Materials and Services,PR,PRRE,PRRESG,PKSB000009,PKSB,PK,Portland Parks & Recreation,2006-07,314400
MFOP000046,INT_SVC,LAFAOM,EMS,City Hall,Internal Service,Operations and Maintenance,External Materials and Services,LA,LAFA,LAFAOM,MFOP000046,MFOP,MF,Office of Management & Finance,2011-12,314414
PKWC000024,GENERAL,PRSPBS,PERSONAL,Workforce Support & Dev. Admin,General Fund,Business Services,Personnel Services,PR,PRSP,PRSPBS,PKWC000024,PKWC,PK,Portland Parks & Recreation,2010-11,314427
NINL000005,GENERAL,CDNLNC,PERSONAL,NOISE CONTROL,General Fund,Noise Control,Personnel Services,CD,CDNL,CDNLNC,NINL000005,NINL,NI,Office of Neighborhood Involvement,2014-15,314652
PLOP000033,SPEC_REV,PSTSTS,PERSONAL,Traffic Operations,Special Revenue,Traffic Safety,Personnel Services,PS,PSTS,PSTSTS,PLOP000033,PLOP,PL,Portland Police Bureau,2015-16,314741
WACS000001,ENTERPRISE,PUCSCS,PERSONAL,Customer Service - Cust Svs Div,Enterprise,Customer Services,Personnel Services,PU,PUCS,PUCSCS,WACS000001,WACS,WA,Portland Water Bureau,2011-12,314881
MFHR000001,GENERAL,LAOPSR,IMS,Operations,General Fund,HR Systems & Records,Internal Materials and Services,LA,LAOP,LAOPSR,MFHR000001,MFHR,MF,Office of Management & Finance,2011-12,314907
MFOP000014,INT_SVC,LAFLAQ,PERSONAL,Replacement,Internal Service,New and Replacement Acqs,Personnel Services,LA,LAFL,LAFLAQ,MFOP000014,MFOP,MF,Office of Management & Finance,2012-13,314949
PKSB000014,CAPITAL,PRINDE,CAPITAL,Systems Development Charges,Capital Projects,Capital Development,Capital Outlay,PR,PRIN,PRINDE,PKSB000014,PKSB,PK,Portland Parks & Recreation,2010-11,314962
MFTS000041,INT_SVC,LACM00,PERSONAL,Video Operations,Internal Service,Communications,Personnel Services,LA,LACM,LACM00,MFTS000041,MFTS,MF,Office of Management & Finance,2015-16,315026
OEOE000001,GENERAL,CDASAD,PERSONAL,Office of Equity and Human Rights,General Fund,Administration,Personnel Services,CD,CDAS,CDASAD,OEOE000001,OEOE,OE,Office of Equity & Human Rights,2011-12,315174
PKPR000037,GENERAL,PRINMN,EMS,Engineering,General Fund,Maintenance,External Materials and Services,PR,PRIN,PRINMN,PKPR000037,PKPR,PK,Portland Parks & Recreation,2008-09,315223
MFOP000040,INT_SVC,LAFASP,PERSONAL,Facilities Services Admininstration,Internal Service,Facilities Strategic Plan,Personnel Services,LA,LAFA,LAFASP,MFOP000040,MFOP,MF,Office of Management & Finance,2015-16,315259
PKCN000004,GENERAL,PRRECS,PERSONAL,Environmental Education,General Fund,Community and Socialization,Personnel Services,PR,PRRE,PRRECS,PKCN000004,PKCN,PK,Portland Parks & Recreation,2007-08,315287
WAFS000003,ENTERPRISE,PUASFA,CAPITAL,Finance & Support Svc-Accounting,Enterprise,Facilities,Capital Outlay,PU,PUAS,PUASFA,WAFS000003,WAFS,WA,Portland Water Bureau,2009-10,315294
PNCP000001,GENERAL,CDSPPR,PERSONAL,Planning and Urban Design,General Fund,Policy & Research,Personnel Services,CD,CDSP,CDSPPR,PNCP000001,PNCP,PN,Bureau of Planning & Sustainability,2014-15,315304
PKSB000007,ENTERPRISE,PRRESG,EMS,Eastmoreland Golf Course,Enterprise,Sports and Games,External Materials and Services,PR,PRRE,PRRESG,PKSB000007,PKSB,PK,Portland Parks & Recreation,2015-16,315389
WAFS000001,ENTERPRISE,PUASPL,PERSONAL,Finance & Support Svc-Fin & Sup Svcs Grp,Enterprise,Planning,Personnel Services,PU,PUAS,PUASPL,WAFS000001,WAFS,WA,Portland Water Bureau,2009-10,315392
MFOP000042,CAPITAL,LAOMOM,IMS,Facilities Project Management,Capital Projects,Operations and Maintenance,Internal Materials and Services,LA,LAOM,LAOMOM,MFOP000042,MFOP,MF,Office of Management & Finance,2008-09,315487
HCPG000005,SPEC_REV,CDHMHH,EMS,Neighborhood Housing Programs,Special Revenue,Healthy Homes,External Materials and Services,CD,CDHM,CDHMHH,HCPG000005,HCPG,HC,Portland Housing Bureau,2015-16,315592
WAEN000024,ENTERPRISE,PUASFA,PERSONAL,Engineering-Facility & Security,Enterprise,Facilities,Personnel Services,PU,PUAS,PUASFA,WAEN000024,WAEN,WA,Portland Water Bureau,2009-10,315625
MFTS000030,INT_SVC,LABS00,PERSONAL,Business Solutions T&M Billable,Internal Service,Business Solutions,Personnel Services,LA,LABS,LABS00,MFTS000030,MFTS,MF,Office of Management & Finance,2007-08,315789
FRMS000001,GENERAL,PSASMS,PERSONAL,Planning & Administrative Svcs,General Fund,Management Services,Personnel Services,PS,PSAS,PSASMS,FRMS000001,FRMS,FR,Portland Fire & Rescue,2011-12,315790
PLSB000015,GENERAL,PSHRHR,EMS,Training Division,General Fund,Human Resources Development,External Materials and Services,PS,PSHR,PSHRHR,PLSB000015,PLSB,PL,Portland Police Bureau,2012-13,315799
WACS000001,ENTERPRISE,PUCSCS,IMS,Customer Service - Cust Svs Div,Enterprise,Customer Services,Internal Materials and Services,PU,PUCS,PUCSCS,WACS000001,WACS,WA,Portland Water Bureau,2006-07,315814
MFOP000032,ENTERPRISE,LAASSF,CAPITAL,Memorial Coliseum,Enterprise,Spectator Facilities,Capital Outlay,LA,LAAS,LAASSF,MFOP000032,MFOP,MF,Office of Management & Finance,2013-14,315820
