Fund center code,fund code,functional area code,object code,FY 2015-16,FY 2014-15,FY 2013-14,FY 2012-13,FY 2011-12,FY 2010-11,FY 2009-10,FY 2008-09,FY 2007-08,FY 2006-07,fund center name,Fund Name,functional area name,accounting object name,Service Area Code,Program Code,Sub Program Code,Fund Center,Division Code,Bureau Code,Bureau Name
ESBS000007,ENTERPRISE,PUASFI,IMS,2080697,2128477,2164569,2092242,1660580,1504077,1580702,1245062,0,5126141,Revenue Programs Administration,Enterprise,Finance,Internal Materials and Services,PU,PUAS,PUASFI,ESBS000007,ESBS,ES,Bureau of Environmental Services
ESBS000007,ENTERPRISE,PUASFI,BOND,79415,74100,39707,71178,104887,49239,99151,41808,105718,44454,Revenue Programs Administration,Enterprise,Finance,Debt Service,PU,PUAS,PUASFI,ESBS000007,ESBS,ES,Bureau of Environmental Services
ESBS000007,ENTERPRISE,PUENAM,EMS,0,0,0,0,10000,0,8500,0,0,0,Revenue Programs Administration,Enterprise,Asset Systems Management,External Materials and Services,PU,PUEN,PUENAM,ESBS000007,ESBS,ES,Bureau of Environmental Services
ESBS000008,SPEC_REV,PUASFI,EMS,0,0,0,0,0,0,0,0,0,17175,BES Funds Management,Special Revenue,Finance,External Materials and Services,PU,PUAS,PUASFI,ESBS000008,ESBS,ES,Bureau of Environmental Services
ESBS000008,SPEC_REV,PUASFI,ENDBAL,0,0,0,0,0,0,0,0,0,1744367,BES Funds Management,Special Revenue,Finance,Unappropriated Fund Balance,PU,PUAS,PUASFI,ESBS000008,ESBS,ES,Bureau of Environmental Services
ESBS000008,ENTERPRISE,PUASBS,EMS,0,0,0,0,0,70,0,0,0,0,BES Funds Management,Enterprise,Bureau Support,External Materials and Services,PU,PUAS,PUASBS,ESBS000008,ESBS,ES,Bureau of Environmental Services
ESBS000008,ENTERPRISE,PUASFI,PERSONAL,0,0,-25723,0,-16341,0,0,0,0,0,BES Funds Management,Enterprise,Finance,Personnel Services,PU,PUAS,PUASFI,ESBS000008,ESBS,ES,Bureau of Environmental Services
ESBS000008,ENTERPRISE,PUASFI,EMS,15709309,14882515,13871797,12827157,20,62754,453,3,0,0,BES Funds Management,Enterprise,Finance,External Materials and Services,PU,PUAS,PUASFI,ESBS000008,ESBS,ES,Bureau of Environmental Services
ESBS000008,ENTERPRISE,PUASFI,BOND,0,0,0,0,295000,0,23553867,11876191,54357,54357,BES Funds Management,Enterprise,Finance,Debt Service,PU,PUAS,PUASFI,ESBS000008,ESBS,ES,Bureau of Environmental Services
ESBS000008,ENTERPRISE,PUASFI,FNDXFER,137482519,138243286,148536270,106019301,135508049,279329383,227106988,236763121,0,99068,BES Funds Management,Enterprise,Finance,Fund Transfers - Expense,PU,PUAS,PUASFI,ESBS000008,ESBS,ES,Bureau of Environmental Services
ESBS000008,ENTERPRISE,PUASFI,ENDBAL,164001092,196221476,40070379,11447342,27643826,122809801,86508066,141561355,296010174,154233751,BES Funds Management,Enterprise,Finance,Unappropriated Fund Balance,PU,PUAS,PUASFI,ESBS000008,ESBS,ES,Bureau of Environmental Services
ESBS000008,ENTERPRISE,PUWSWM,FNDXFER,0,-921895,0,0,0,0,0,0,0,0,BES Funds Management,Enterprise,Watershed Management,Fund Transfers - Expense,PU,PUWS,PUWSWM,ESBS000008,ESBS,ES,Bureau of Environmental Services
ESBS000009,ENTERPRISE,PUASFI,EMS,5389,6950,4701,7961,13448,6125,10000,4462,0,95,Debt Activity,Enterprise,Finance,External Materials and Services,PU,PUAS,PUASFI,ESBS000009,ESBS,ES,Bureau of Environmental Services
ESBS000009,ENTERPRISE,PUASFI,IMS,0,0,0,0,0,0,0,50001,0,0,Debt Activity,Enterprise,Finance,Internal Materials and Services,PU,PUAS,PUASFI,ESBS000009,ESBS,ES,Bureau of Environmental Services
ESBS000009,ENTERPRISE,PUASFI,BOND,617814310,271218454,271129491,150742027,150398719,310829078,121656421,110769682,373484861,310131808,Debt Activity,Enterprise,Finance,Debt Service,PU,PUAS,PUASFI,ESBS000009,ESBS,ES,Bureau of Environmental Services
ESBS000009,ENTERPRISE,PUASFI,FNDXFER,173088628,166625561,148715508,148702739,148589721,148350428,116629466,99533275,0,0,Debt Activity,Enterprise,Finance,Fund Transfers - Expense,PU,PUAS,PUASFI,ESBS000009,ESBS,ES,Bureau of Environmental Services
ESDR000001,ENTERPRISE,PUAS00,EMS,279,0,0,0,22,203,2830,0,0,0,Bureau Director,Enterprise,Administration & Support,External Materials and Services,PU,PUAS,PUAS00,ESDR000001,ESDR,ES,Bureau of Environmental Services
ESDR000001,ENTERPRISE,PUASAD,PERSONAL,376726,646759,357816,343181,342990,309952,305316,337883,282878,271138,Bureau Director,Enterprise,Administration,Personnel Services,PU,PUAS,PUASAD,ESDR000001,ESDR,ES,Bureau of Environmental Services
ESDR000001,ENTERPRISE,PUASAD,EMS,85277,174924,86442,83167,90081,106854,94075,108845,107191,95101,Bureau Director,Enterprise,Administration,External Materials and Services,PU,PUAS,PUASAD,ESDR000001,ESDR,ES,Bureau of Environmental Services
ESDR000001,ENTERPRISE,PUASAD,IMS,244514,229312,256505,252704,254461,237641,240172,248894,0,605,Bureau Director,Enterprise,Administration,Internal Materials and Services,PU,PUAS,PUASAD,ESDR000001,ESDR,ES,Bureau of Environmental Services
ESDR000001,ENTERPRISE,PUASBS,EMS,0,172,0,35,349,0,0,0,0,0,Bureau Director,Enterprise,Bureau Support,External Materials and Services,PU,PUAS,PUASBS,ESDR000001,ESDR,ES,Bureau of Environmental Services
ESDR000001,ENTERPRISE,PUASCM,EMS,0,0,0,0,5886,0,0,0,0,0,Bureau Director,Enterprise,Communications,External Materials and Services,PU,PUAS,PUASCM,ESDR000001,ESDR,ES,Bureau of Environmental Services
ESDR000001,ENTERPRISE,PUASCM,IMS,0,0,0,0,31983,0,0,0,0,0,Bureau Director,Enterprise,Communications,Internal Materials and Services,PU,PUAS,PUASCM,ESDR000001,ESDR,ES,Bureau of Environmental Services
ESDR000001,ENTERPRISE,PUASED,EMS,2430,11339,1050,6975,3150,7938,1928,5460,0,0,Bureau Director,Enterprise,Employee Development,External Materials and Services,PU,PUAS,PUASED,ESDR000001,ESDR,ES,Bureau of Environmental Services
ESDR000001,ENTERPRISE,PUASFI,EMS,0,490,0,0,0,0,0,0,0,0,Bureau Director,Enterprise,Finance,External Materials and Services,PU,PUAS,PUASFI,ESDR000001,ESDR,ES,Bureau of Environmental Services
ESDR000001,ENTERPRISE,PUEN00,EMS,0,0,0,1041,0,0,0,0,0,0,Bureau Director,Enterprise,Engineering,External Materials and Services,PU,PUEN,PUEN00,ESDR000001,ESDR,ES,Bureau of Environmental Services
ESDR000002,ENTERPRISE,PUASAD,PERSONAL,0,0,0,0,0,0,0,0,0,-311,Administrative Support,Enterprise,Administration,Personnel Services,PU,PUAS,PUASAD,ESDR000002,ESDR,ES,Bureau of Environmental Services
ESDR000002,ENTERPRISE,PUASAD,EMS,0,0,0,604,0,0,0,27154,0,0,Administrative Support,Enterprise,Administration,External Materials and Services,PU,PUAS,PUASAD,ESDR000002,ESDR,ES,Bureau of Environmental Services
ESDR000002,ENTERPRISE,PUASBS,EMS,0,0,0,0,0,0,0,246,0,0,Administrative Support,Enterprise,Bureau Support,External Materials and Services,PU,PUAS,PUASBS,ESDR000002,ESDR,ES,Bureau of Environmental Services
ESDR000003,ENTERPRISE,PUAS00,EMS,11,99,72,0,36,361,0,0,0,0,Communications,Enterprise,Administration & Support,External Materials and Services,PU,PUAS,PUAS00,ESDR000003,ESDR,ES,Bureau of Environmental Services
ESDR000003,ENTERPRISE,PUASAD,EMS,0,40,99,0,120,0,0,0,0,0,Communications,Enterprise,Administration,External Materials and Services,PU,PUAS,PUASAD,ESDR000003,ESDR,ES,Bureau of Environmental Services
ESDR000003,ENTERPRISE,PUASBS,EMS,281,462,378,3109,2156,511,0,417,0,0,Communications,Enterprise,Bureau Support,External Materials and Services,PU,PUAS,PUASBS,ESDR000003,ESDR,ES,Bureau of Environmental Services
ESDR000003,ENTERPRISE,PUASCM,PERSONAL,762403,701074,630206,731469,754360,677731,677117,638295,603687,574113,Communications,Enterprise,Communications,Personnel Services,PU,PUAS,PUASCM,ESDR000003,ESDR,ES,Bureau of Environmental Services
ESDR000003,ENTERPRISE,PUASCM,EMS,64228,133175,91551,133161,202399,163597,162171,215587,154959,126829,Communications,Enterprise,Communications,External Materials and Services,PU,PUAS,PUASCM,ESDR000003,ESDR,ES,Bureau of Environmental Services
ESDR000003,ENTERPRISE,PUASCM,IMS,48657,60311,53842,53486,59544,63675,77651,50143,0,7493,Communications,Enterprise,Communications,Internal Materials and Services,PU,PUAS,PUASCM,ESDR000003,ESDR,ES,Bureau of Environmental Services
ESDR000003,ENTERPRISE,PUASCM,CAPITAL,0,25090,0,0,19523,0,0,0,17542,0,Communications,Enterprise,Communications,Capital Outlay,PU,PUAS,PUASCM,ESDR000003,ESDR,ES,Bureau of Environmental Services
ESDR000003,ENTERPRISE,PUASED,PERSONAL,6075,1482,2363,-879,2322,0,-21,70,0,0,Communications,Enterprise,Employee Development,Personnel Services,PU,PUAS,PUASED,ESDR000003,ESDR,ES,Bureau of Environmental Services
ESDR000003,ENTERPRISE,PUASED,EMS,0,131,180,0,0,54,35,302,0,0,Communications,Enterprise,Employee Development,External Materials and Services,PU,PUAS,PUASED,ESDR000003,ESDR,ES,Bureau of Environmental Services
ESDR000003,ENTERPRISE,PUEN00,EMS,0,0,0,237,0,0,0,0,0,0,Communications,Enterprise,Engineering,External Materials and Services,PU,PUEN,PUEN00,ESDR000003,ESDR,ES,Bureau of Environmental Services
ESDR000003,ENTERPRISE,PUENAM,PERSONAL,0,0,0,0,0,56,0,0,0,0,Communications,Enterprise,Asset Systems Management,Personnel Services,PU,PUEN,PUENAM,ESDR000003,ESDR,ES,Bureau of Environmental Services
ESDR000003,ENTERPRISE,PUENAM,EMS,0,0,1282,0,0,0,0,0,0,0,Communications,Enterprise,Asset Systems Management,External Materials and Services,PU,PUEN,PUENAM,ESDR000003,ESDR,ES,Bureau of Environmental Services
ESDR000003,ENTERPRISE,PUENDE,EMS,152,0,0,0,0,0,0,0,0,0,Communications,Enterprise,Design,External Materials and Services,PU,PUEN,PUENDE,ESDR000003,ESDR,ES,Bureau of Environmental Services
ESDR000003,ENTERPRISE,PUENPM,PERSONAL,0,0,99,0,0,5,0,0,0,0,Communications,Enterprise,Capital Program Mgmt & Controls,Personnel Services,PU,PUEN,PUENPM,ESDR000003,ESDR,ES,Bureau of Environmental Services
ESDR000003,ENTERPRISE,PUENSD,PERSONAL,0,0,0,0,1066,0,0,0,0,0,Communications,Enterprise,Systems Development,Personnel Services,PU,PUEN,PUENSD,ESDR000003,ESDR,ES,Bureau of Environmental Services
ESDR000003,ENTERPRISE,PUWSWM,EMS,0,195,0,0,0,0,0,0,0,0,Communications,Enterprise,Watershed Management,External Materials and Services,PU,PUWS,PUWSWM,ESDR000003,ESDR,ES,Bureau of Environmental Services
ESDR000004,ENTERPRISE,PUAS00,EMS,0,0,6,0,0,0,0,0,0,0,Portland Harbor Admin,Enterprise,Administration & Support,External Materials and Services,PU,PUAS,PUAS00,ESDR000004,ESDR,ES,Bureau of Environmental Services
ESDR000004,ENTERPRISE,PUASBS,EMS,281,0,0,250,0,0,0,0,0,0,Portland Harbor Admin,Enterprise,Bureau Support,External Materials and Services,PU,PUAS,PUASBS,ESDR000004,ESDR,ES,Bureau of Environmental Services
ESDR000004,ENTERPRISE,PUASED,EMS,0,0,0,48,0,0,0,0,0,0,Portland Harbor Admin,Enterprise,Employee Development,External Materials and Services,PU,PUAS,PUASED,ESDR000004,ESDR,ES,Bureau of Environmental Services
ESDR000004,ENTERPRISE,PUASIM,EMS,0,0,0,0,0,0,21899,24080,0,0,Portland Harbor Admin,Enterprise,Information Management,External Materials and Services,PU,PUAS,PUASIM,ESDR000004,ESDR,ES,Bureau of Environmental Services
ESDR000004,ENTERPRISE,PUPH00,PERSONAL,501661,417470,370380,344061,391701,616979,593057,521575,555122,521762,Portland Harbor Admin,Enterprise,Portland Harbor,Personnel Services,PU,PUPH,PUPH00,ESDR000004,ESDR,ES,Bureau of Environmental Services
ESDR000004,ENTERPRISE,PUPH00,EMS,622464,1228403,2486261,1749124,3007911,4169283,4458172,3959899,3901934,6918189,Portland Harbor Admin,Enterprise,Portland Harbor,External Materials and Services,PU,PUPH,PUPH00,ESDR000004,ESDR,ES,Bureau of Environmental Services
ESDR000004,ENTERPRISE,PUPH00,IMS,751265,673394,665342,657417,632749,634059,529634,544712,0,88,Portland Harbor Admin,Enterprise,Portland Harbor,Internal Materials and Services,PU,PUPH,PUPH00,ESDR000004,ESDR,ES,Bureau of Environmental Services
ESDR000004,ENTERPRISE,PUPHCE,PERSONAL,293,0,123,181,1305,13607,261,0,0,0,Portland Harbor Admin,Enterprise,CERCLA (Superfund),Personnel Services,PU,PUPH,PUPHCE,ESDR000004,ESDR,ES,Bureau of Environmental Services
ESDR000004,ENTERPRISE,PUPHCE,EMS,1323109,734484,290000,0,0,0,0,0,0,0,Portland Harbor Admin,Enterprise,CERCLA (Superfund),External Materials and Services,PU,PUPH,PUPHCE,ESDR000004,ESDR,ES,Bureau of Environmental Services
ESDR000004,ENTERPRISE,PUPHCE,IMS,0,0,0,0,0,2588,2880,0,0,0,Portland Harbor Admin,Enterprise,CERCLA (Superfund),Internal Materials and Services,PU,PUPH,PUPHCE,ESDR000004,ESDR,ES,Bureau of Environmental Services
ESDR000004,ENTERPRISE,PUPHWR,PERSONAL,0,0,0,0,0,0,0,8299,0,0,Portland Harbor Admin,Enterprise,Water Resources Development Act,Personnel Services,PU,PUPH,PUPHWR,ESDR000004,ESDR,ES,Bureau of Environmental Services
ESDR000004,ENTERPRISE,PUWSSS,IMS,0,0,0,0,0,0,1194,0,0,0,Portland Harbor Admin,Enterprise,Sustainable Stormwater,Internal Materials and Services,PU,PUWS,PUWSSS,ESDR000004,ESDR,ES,Bureau of Environmental Services
ESDR000004,ENTERPRISE,PUWWTR,IMS,0,0,0,0,0,0,660,0,0,0,Portland Harbor Admin,Enterprise,Treatment,Internal Materials and Services,PU,PUWW,PUWWTR,ESDR000004,ESDR,ES,Bureau of Environmental Services
ESDR000005,ENTERPRISE,PUAS00,EMS,0,0,0,0,0,188,0,0,0,0,Intergovernental Relations,Enterprise,Administration & Support,External Materials and Services,PU,PUAS,PUAS00,ESDR000005,ESDR,ES,Bureau of Environmental Services
ESDR000005,ENTERPRISE,PUASAD,PERSONAL,0,0,0,0,0,0,268126,226090,26174,0,Intergovernental Relations,Enterprise,Administration,Personnel Services,PU,PUAS,PUASAD,ESDR000005,ESDR,ES,Bureau of Environmental Services
ESDR000005,ENTERPRISE,PUASAD,EMS,0,0,0,0,0,20395,97068,77135,11,0,Intergovernental Relations,Enterprise,Administration,External Materials and Services,PU,PUAS,PUASAD,ESDR000005,ESDR,ES,Bureau of Environmental Services
ESDR000005,ENTERPRISE,PUASAD,IMS,0,0,0,0,598,1086,269,23,0,0,Intergovernental Relations,Enterprise,Administration,Internal Materials and Services,PU,PUAS,PUASAD,ESDR000005,ESDR,ES,Bureau of Environmental Services
ESDR000006,ENTERPRISE,CDAPRI,EMS,0,0,0,0,0,3416,0,0,0,0,Office of Healthy Working Rivers,Enterprise,River Planning,External Materials and Services,CD,CDAP,CDAPRI,ESDR000006,ESDR,ES,Bureau of Environmental Services
ESDR000006,ENTERPRISE,PUASBS,EMS,0,0,0,72,378,626,0,0,0,0,Office of Healthy Working Rivers,Enterprise,Bureau Support,External Materials and Services,PU,PUAS,PUASBS,ESDR000006,ESDR,ES,Bureau of Environmental Services
ESDR000006,ENTERPRISE,PUASED,EMS,0,0,0,350,48,44,1341,0,0,0,Office of Healthy Working Rivers,Enterprise,Employee Development,External Materials and Services,PU,PUAS,PUASED,ESDR000006,ESDR,ES,Bureau of Environmental Services
ESDR000006,ENTERPRISE,PUHR00,PERSONAL,0,0,6800,469155,442231,420578,287939,0,0,0,Office of Healthy Working Rivers,Enterprise,Healthy Working Rivers,Personnel Services,PU,PUHR,PUHR00,ESDR000006,ESDR,ES,Bureau of Environmental Services
ESDR000006,ENTERPRISE,PUHR00,EMS,0,0,0,30280,114494,70636,27617,0,0,0,Office of Healthy Working Rivers,Enterprise,Healthy Working Rivers,External Materials and Services,PU,PUHR,PUHR00,ESDR000006,ESDR,ES,Bureau of Environmental Services
ESDR000006,ENTERPRISE,PUHR00,IMS,0,0,765,104662,106516,255757,77956,0,0,0,Office of Healthy Working Rivers,Enterprise,Healthy Working Rivers,Internal Materials and Services,PU,PUHR,PUHR00,ESDR000006,ESDR,ES,Bureau of Environmental Services
ESDR000006,ENTERPRISE,PUPH00,EMS,0,0,0,0,0,44,0,0,0,0,Office of Healthy Working Rivers,Enterprise,Portland Harbor,External Materials and Services,PU,PUPH,PUPH00,ESDR000006,ESDR,ES,Bureau of Environmental Services
ESDR000007,ENTERPRISE,PUASAD,PERSONAL,495561,465877,503038,493837,598803,373065,0,0,0,0,Environmental Policy,Enterprise,Administration,Personnel Services,PU,PUAS,PUASAD,ESDR000007,ESDR,ES,Bureau of Environmental Services
ESDR000007,ENTERPRISE,PUASAD,EMS,5160,3286,1813,3638,4306,2782,0,0,0,0,Environmental Policy,Enterprise,Administration,External Materials and Services,PU,PUAS,PUASAD,ESDR000007,ESDR,ES,Bureau of Environmental Services
ESDR000007,ENTERPRISE,PUASAD,IMS,35569,33754,937,1317,1280,212,0,0,0,0,Environmental Policy,Enterprise,Administration,Internal Materials and Services,PU,PUAS,PUASAD,ESDR000007,ESDR,ES,Bureau of Environmental Services
ESDR000007,ENTERPRISE,PUASBS,EMS,0,0,0,0,255,28,0,0,0,0,Environmental Policy,Enterprise,Bureau Support,External Materials and Services,PU,PUAS,PUASBS,ESDR000007,ESDR,ES,Bureau of Environmental Services
ESDR000007,ENTERPRISE,PUASCM,EMS,0,450,0,0,0,0,0,0,0,0,Environmental Policy,Enterprise,Communications,External Materials and Services,PU,PUAS,PUASCM,ESDR000007,ESDR,ES,Bureau of Environmental Services
ESDR000007,ENTERPRISE,PUASED,EMS,0,0,140,48,234,37,0,0,0,0,Environmental Policy,Enterprise,Employee Development,External Materials and Services,PU,PUAS,PUASED,ESDR000007,ESDR,ES,Bureau of Environmental Services
ESEN000001,ENTERPRISE,PUAS00,EMS,0,0,0,0,0,44,0,0,0,0,Engineering Services Chief Engineer,Enterprise,Administration & Support,External Materials and Services,PU,PUAS,PUAS00,ESEN000001,ESEN,ES,Bureau of Environmental Services
ESEN000001,ENTERPRISE,PUASBS,EMS,0,0,0,751,634,0,0,0,0,0,Engineering Services Chief Engineer,Enterprise,Bureau Support,External Materials and Services,PU,PUAS,PUASBS,ESEN000001,ESEN,ES,Bureau of Environmental Services
ESEN000001,ENTERPRISE,PUASED,PERSONAL,-65,1760,1762,2133,0,0,506,0,0,0,Engineering Services Chief Engineer,Enterprise,Employee Development,Personnel Services,PU,PUAS,PUASED,ESEN000001,ESEN,ES,Bureau of Environmental Services
ESEN000001,ENTERPRISE,PUASED,EMS,16667,8333,41667,0,0,0,5000,46,0,0,Engineering Services Chief Engineer,Enterprise,Employee Development,External Materials and Services,PU,PUAS,PUASED,ESEN000001,ESEN,ES,Bureau of Environmental Services
ESEN000001,ENTERPRISE,PUASIM,EMS,0,0,0,0,35,0,0,0,0,0,Engineering Services Chief Engineer,Enterprise,Information Management,External Materials and Services,PU,PUAS,PUASIM,ESEN000001,ESEN,ES,Bureau of Environmental Services
ESEN000001,ENTERPRISE,PUEN00,PERSONAL,224159,211794,259525,301271,197213,187117,188126,679106,650250,606153,Engineering Services Chief Engineer,Enterprise,Engineering,Personnel Services,PU,PUEN,PUEN00,ESEN000001,ESEN,ES,Bureau of Environmental Services
ESEN000001,ENTERPRISE,PUEN00,EMS,43500,678,-4422,36034,1159,286,2558,21387,41418,71947,Engineering Services Chief Engineer,Enterprise,Engineering,External Materials and Services,PU,PUEN,PUEN00,ESEN000001,ESEN,ES,Bureau of Environmental Services
ESEN000001,ENTERPRISE,PUEN00,IMS,29956,59161,53119,38471,133018,194627,192642,307108,0,17407,Engineering Services Chief Engineer,Enterprise,Engineering,Internal Materials and Services,PU,PUEN,PUEN00,ESEN000001,ESEN,ES,Bureau of Environmental Services
ESEN000001,ENTERPRISE,PUEN00,CAPITAL,0,0,0,0,0,0,0,0,0,72810,Engineering Services Chief Engineer,Enterprise,Engineering,Capital Outlay,PU,PUEN,PUEN00,ESEN000001,ESEN,ES,Bureau of Environmental Services
ESEN000001,ENTERPRISE,PUEN00,FNDXFER,0,0,0,0,0,0,0,200000,0,0,Engineering Services Chief Engineer,Enterprise,Engineering,Fund Transfers - Expense,PU,PUEN,PUEN00,ESEN000001,ESEN,ES,Bureau of Environmental Services
ESEN000001,ENTERPRISE,PUENAM,PERSONAL,61728,226871,360110,123638,0,0,0,0,0,0,Engineering Services Chief Engineer,Enterprise,Asset Systems Management,Personnel Services,PU,PUEN,PUENAM,ESEN000001,ESEN,ES,Bureau of Environmental Services
ESEN000001,ENTERPRISE,PUENAM,EMS,1474,24633,126019,60656,0,0,0,0,0,0,Engineering Services Chief Engineer,Enterprise,Asset Systems Management,External Materials and Services,PU,PUEN,PUENAM,ESEN000001,ESEN,ES,Bureau of Environmental Services
ESEN000001,ENTERPRISE,PUENAM,IMS,0,0,22,1461,0,0,0,0,0,0,Engineering Services Chief Engineer,Enterprise,Asset Systems Management,Internal Materials and Services,PU,PUEN,PUENAM,ESEN000001,ESEN,ES,Bureau of Environmental Services
ESEN000001,ENTERPRISE,PUENDE,EMS,76,0,0,0,0,0,0,0,0,0,Engineering Services Chief Engineer,Enterprise,Design,External Materials and Services,PU,PUEN,PUENDE,ESEN000001,ESEN,ES,Bureau of Environmental Services
ESEN000001,ENTERPRISE,PUENSR,PERSONAL,0,0,0,1458,0,0,0,0,0,0,Engineering Services Chief Engineer,Enterprise,Stormwater Retrofit,Personnel Services,PU,PUEN,PUENSR,ESEN000001,ESEN,ES,Bureau of Environmental Services
ESEN000002,ENTERPRISE,PUAS00,EMS,94,0,0,0,0,188,0,0,0,0,Systems Development Administration,Enterprise,Administration & Support,External Materials and Services,PU,PUAS,PUAS00,ESEN000002,ESEN,ES,Bureau of Environmental Services
ESEN000002,ENTERPRISE,PUASBS,EMS,0,0,0,668,0,28,0,0,0,0,Systems Development Administration,Enterprise,Bureau Support,External Materials and Services,PU,PUAS,PUASBS,ESEN000002,ESEN,ES,Bureau of Environmental Services
ESEN000002,ENTERPRISE,PUASCM,PERSONAL,0,0,-1,117,0,0,0,0,0,0,Systems Development Administration,Enterprise,Communications,Personnel Services,PU,PUAS,PUASCM,ESEN000002,ESEN,ES,Bureau of Environmental Services
ESEN000002,ENTERPRISE,PUASED,PERSONAL,1254,0,0,0,0,0,533,0,0,0,Systems Development Administration,Enterprise,Employee Development,Personnel Services,PU,PUAS,PUASED,ESEN000002,ESEN,ES,Bureau of Environmental Services
ESEN000002,ENTERPRISE,PUASED,EMS,0,0,0,0,0,0,35,46,0,0,Systems Development Administration,Enterprise,Employee Development,External Materials and Services,PU,PUAS,PUASED,ESEN000002,ESEN,ES,Bureau of Environmental Services
ESEN000002,ENTERPRISE,PUASIM,PERSONAL,0,0,0,59,0,0,0,0,0,0,Systems Development Administration,Enterprise,Information Management,Personnel Services,PU,PUAS,PUASIM,ESEN000002,ESEN,ES,Bureau of Environmental Services
ESEN000002,ENTERPRISE,PUASIM,EMS,0,0,0,0,0,0,81,0,0,0,Systems Development Administration,Enterprise,Information Management,External Materials and Services,PU,PUAS,PUASIM,ESEN000002,ESEN,ES,Bureau of Environmental Services
ESEN000002,ENTERPRISE,PUCSCS,EMS,0,0,0,0,0,0,0,3320,0,0,Systems Development Administration,Enterprise,Customer Services,External Materials and Services,PU,PUCS,PUCSCS,ESEN000002,ESEN,ES,Bureau of Environmental Services
ESEN000002,ENTERPRISE,PUEN00,EMS,0,0,0,1135,0,0,0,0,0,0,Systems Development Administration,Enterprise,Engineering,External Materials and Services,PU,PUEN,PUEN00,ESEN000002,ESEN,ES,Bureau of Environmental Services
ESEN000002,ENTERPRISE,PUENAM,PERSONAL,2488,2828,176,3313,9461,9967,1367,0,0,0,Systems Development Administration,Enterprise,Asset Systems Management,Personnel Services,PU,PUEN,PUENAM,ESEN000002,ESEN,ES,Bureau of Environmental Services
ESEN000002,ENTERPRISE,PUENCS,PERSONAL,0,0,0,0,807,1157,0,0,0,0,Systems Development Administration,Enterprise,Construction Services,Personnel Services,PU,PUEN,PUENCS,ESEN000002,ESEN,ES,Bureau of Environmental Services
ESEN000002,ENTERPRISE,PUENCS,EMS,0,0,0,0,0,246,0,0,0,0,Systems Development Administration,Enterprise,Construction Services,External Materials and Services,PU,PUEN,PUENCS,ESEN000002,ESEN,ES,Bureau of Environmental Services
ESEN000002,ENTERPRISE,PUENCS,IMS,0,0,0,0,647,3664,0,0,0,0,Systems Development Administration,Enterprise,Construction Services,Internal Materials and Services,PU,PUEN,PUENCS,ESEN000002,ESEN,ES,Bureau of Environmental Services
ESEN000002,ENTERPRISE,PUENSD,PERSONAL,188115,166582,172666,215998,213721,222487,256959,1184600,946190,849420,Systems Development Administration,Enterprise,Systems Development,Personnel Services,PU,PUEN,PUENSD,ESEN000002,ESEN,ES,Bureau of Environmental Services
ESEN000002,ENTERPRISE,PUENSD,EMS,222853,149076,104075,70082,69517,57468,50556,60573,55520,51390,Systems Development Administration,Enterprise,Systems Development,External Materials and Services,PU,PUEN,PUENSD,ESEN000002,ESEN,ES,Bureau of Environmental Services
ESEN000002,ENTERPRISE,PUENSD,IMS,580172,508573,605576,587994,510074,456106,567676,245158,0,1288,Systems Development Administration,Enterprise,Systems Development,Internal Materials and Services,PU,PUEN,PUENSD,ESEN000002,ESEN,ES,Bureau of Environmental Services
ESEN000002,ENTERPRISE,PUENSD,CAPITAL,0,0,0,0,0,22337,0,0,0,0,Systems Development Administration,Enterprise,Systems Development,Capital Outlay,PU,PUEN,PUENSD,ESEN000002,ESEN,ES,Bureau of Environmental Services
ESEN000002,ENTERPRISE,PUENSR,PERSONAL,0,0,0,162,0,3125,536,0,0,0,Systems Development Administration,Enterprise,Stormwater Retrofit,Personnel Services,PU,PUEN,PUENSR,ESEN000002,ESEN,ES,Bureau of Environmental Services
ESEN000003,ENTERPRISE,PUAS00,EMS,0,0,0,0,0,795,0,0,0,0,Development Review,Enterprise,Administration & Support,External Materials and Services,PU,PUAS,PUAS00,ESEN000003,ESEN,ES,Bureau of Environmental Services
ESEN000003,ENTERPRISE,PUASBS,EMS,1000,330,0,94,0,469,0,0,0,0,Development Review,Enterprise,Bureau Support,External Materials and Services,PU,PUAS,PUASBS,ESEN000003,ESEN,ES,Bureau of Environmental Services
ESEN000003,ENTERPRISE,PUASED,PERSONAL,9543,4066,5779,1443,5166,4511,4155,0,0,0,Development Review,Enterprise,Employee Development,Personnel Services,PU,PUAS,PUASED,ESEN000003,ESEN,ES,Bureau of Environmental Services
ESEN000003,ENTERPRISE,PUASED,EMS,0,0,60,0,0,525,150,196,0,0,Development Review,Enterprise,Employee Development,External Materials and Services,PU,PUAS,PUASED,ESEN000003,ESEN,ES,Bureau of Environmental Services
ESEN000003,ENTERPRISE,PUASIM,EMS,0,0,2107,0,0,0,0,0,0,0,Development Review,Enterprise,Information Management,External Materials and Services,PU,PUAS,PUASIM,ESEN000003,ESEN,ES,Bureau of Environmental Services
ESEN000003,ENTERPRISE,PUENDE,EMS,179,0,0,0,0,0,0,0,0,0,Development Review,Enterprise,Design,External Materials and Services,PU,PUEN,PUENDE,ESEN000003,ESEN,ES,Bureau of Environmental Services
